id,QID,tagSlug
0,1,array
1,1,hash-table
2,2,linked-list
3,2,math
4,2,recursion
5,3,hash-table
6,3,string
7,3,sliding-window
8,4,array
9,4,binary-search
10,4,divide-and-conquer
11,5,two-pointers
12,5,string
13,5,dynamic-programming
14,6,string
15,7,math
16,8,string
17,9,math
18,10,string
19,10,dynamic-programming
20,10,recursion
21,11,array
22,11,two-pointers
23,11,greedy
24,12,hash-table
25,12,math
26,12,string
27,13,hash-table
28,13,math
29,13,string
30,14,string
31,14,trie
32,15,array
33,15,two-pointers
34,15,sorting
35,16,array
36,16,two-pointers
37,16,sorting
38,17,hash-table
39,17,string
40,17,backtracking
41,18,array
42,18,two-pointers
43,18,sorting
44,19,linked-list
45,19,two-pointers
46,20,string
47,20,stack
48,21,linked-list
49,21,recursion
50,22,string
51,22,dynamic-programming
52,22,backtracking
53,23,linked-list
54,23,divide-and-conquer
55,23,heap-priority-queue
56,23,merge-sort
57,24,linked-list
58,24,recursion
59,25,linked-list
60,25,recursion
61,26,array
62,26,two-pointers
63,27,array
64,27,two-pointers
65,28,two-pointers
66,28,string
67,28,string-matching
68,29,math
69,29,bit-manipulation
70,30,hash-table
71,30,string
72,30,sliding-window
73,31,array
74,31,two-pointers
75,32,string
76,32,dynamic-programming
77,32,stack
78,33,array
79,33,binary-search
80,34,array
81,34,binary-search
82,35,array
83,35,binary-search
84,36,array
85,36,hash-table
86,36,matrix
87,37,array
88,37,hash-table
89,37,backtracking
90,37,matrix
91,38,string
92,39,array
93,39,backtracking
94,40,array
95,40,backtracking
96,41,array
97,41,hash-table
98,42,array
99,42,two-pointers
100,42,dynamic-programming
101,42,stack
102,42,monotonic-stack
103,43,math
104,43,string
105,43,simulation
106,44,string
107,44,dynamic-programming
108,44,greedy
109,44,recursion
110,45,array
111,45,dynamic-programming
112,45,greedy
113,46,array
114,46,backtracking
115,47,array
116,47,backtracking
117,47,sorting
118,48,array
119,48,math
120,48,matrix
121,49,array
122,49,hash-table
123,49,string
124,49,sorting
125,50,math
126,50,recursion
127,51,array
128,51,backtracking
129,52,backtracking
130,53,array
131,53,divide-and-conquer
132,53,dynamic-programming
133,54,array
134,54,matrix
135,54,simulation
136,55,array
137,55,dynamic-programming
138,55,greedy
139,56,array
140,56,sorting
141,57,array
142,58,string
143,59,array
144,59,matrix
145,59,simulation
146,60,math
147,60,recursion
148,61,linked-list
149,61,two-pointers
150,62,math
151,62,dynamic-programming
152,62,combinatorics
153,63,array
154,63,dynamic-programming
155,63,matrix
156,64,array
157,64,dynamic-programming
158,64,matrix
159,65,string
160,66,array
161,66,math
162,67,math
163,67,string
164,67,bit-manipulation
165,67,simulation
166,68,array
167,68,string
168,68,simulation
169,69,math
170,69,binary-search
171,70,math
172,70,dynamic-programming
173,70,memoization
174,71,string
175,71,stack
176,72,string
177,72,dynamic-programming
178,73,array
179,73,hash-table
180,73,matrix
181,74,array
182,74,binary-search
183,74,matrix
184,75,array
185,75,two-pointers
186,75,sorting
187,76,hash-table
188,76,string
189,76,sliding-window
190,77,backtracking
191,78,array
192,78,backtracking
193,78,bit-manipulation
194,79,array
195,79,string
196,79,backtracking
197,79,depth-first-search
198,79,matrix
199,80,array
200,80,two-pointers
201,81,array
202,81,binary-search
203,82,linked-list
204,82,two-pointers
205,83,linked-list
206,84,array
207,84,stack
208,84,monotonic-stack
209,85,array
210,85,dynamic-programming
211,85,stack
212,85,matrix
213,85,monotonic-stack
214,86,linked-list
215,86,two-pointers
216,87,string
217,87,dynamic-programming
218,88,array
219,88,two-pointers
220,88,sorting
221,89,math
222,89,backtracking
