QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,55.80189718888289,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,46.26126363284364,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,36.967432697568725,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,43.861027362468455,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,35.87529130394119,False,"two-pointers,string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,51.64556830416761,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,30.330527374566312,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,19.257934857615517,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,59.24596261927716,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,29.301671685744502,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,57.81288225241962,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,68.66193405405828,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,64.89599033271142,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,45.51341699869014,False,"string,trie",algorithms
15,3Sum,3sum,Medium,37.103549640313595,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,46.909069664602924,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,63.89298560170634,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,38.25150317423565,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,49.015858534532136,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,42.35038551351307,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,66.86601840843895,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,77.16250733214302,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,56.82146805488697,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,67.23894765502632,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,63.09743752890714,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,60.39740708908076,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,60.059833810297036,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,44.99965812332497,False,"two-pointers,string,string-matching",algorithms
